DW_TEMPO;Ano;Mês;Dia
57b854b4c2ceaaa4b70e3ca5295cc2a7c0d6d1371c97421c3216c9e58e4e4e7a;2019;01;29
73241943115217bc08d118e76e9dd07c038830c3802e7dd9331d720ad81ad570;2019;01;07
b677069438950fd7dbeba9ec01d3526ed146325ff458262a6f9ba7766a18d887;2018;11;17
3fb4318851222a442334ffdd6de1cb85356bc0719fa572b73555dac7e436326a;2018;06;02
c5833cf3a2accda67ff8243d180f77c21fa692a8a0bfe020822bde09eecbe5a9;2017;11;16
784e07fe86cb61ff8aa7db4e3407a835f0c3d119ed705b1f909af060390e35a4;2017;05;31
69503d7b8b34a746da8e804397f66995199dd2da9388bd4814b8d995455bfe83;2017;06;11
e8ec7d43f3b431ea2a0f47c1e49ebb6ccd19139bc868aebfbe24a792f4cffdb5;2017;06;03
fc83853d45e426020ea1de09b595c690b7235dcd9d613081622d3b1b9ca8c83d;2017;04;02
e69ead12f5b0e24154abe19cdbd5e856dfcf5c333d26998d2d17a8d29192f886;2017;06;02
7966784adb6b3c0da09a23ceed6375a1a336114ad6ea0d277ffe21e78219b3ed;2017;05;21
5c942217c9b7eb1af81595a830333af64217ef6c3cb8a68c759c430d12b5a1ba;2017;07;21
bb3eb8a69dc6c0927caa62b362b364d4085b98b3da7082c0d2dd505defd38f2b;2017;10;06
00cac373813f21d69b391d427dd8e1f58a53cd1b0d99049dbe044963bef27110;2018;08;06
1d4e0ac98bd1591dfa22df53b00efb80e1abbd30c51a8a687d4973f3fe58c7bc;2018;09;10
2174abb06b6f15b8cac93baeccab37e48a25c62ce7ce535431c181fa0c461e78;2017;10;20
5c4ca8757e1415d67d80ddfe2b7c0b6e2e291ecae83c21c394edb5bdc149cf73;2017;06;17
0a1d2b3781f31c70cf374d9452b1e006731445e12b9c85e759967b0fefd76e3e;2018;02;18
d53277ae9ccbf90912246fbc98b16d0fa06d0095f1b84f88bc1be8d3e54391a9;2018;03;19
1702968622b15bae34e5d206f174f7778bf66f73d9a097080f8ea8728cf5b2dc;2017;03;12
c5fc00d950e15298aff93cf034b4b121644d3b44d8c7e4d818f62c362aa5c99a;2017;08;13
14ebde2fc8d51014bc5c847f6d300ea97bb7d4cb61a36486b3abb196ac3e1b05;2018;01;23
c20556cc3288f6ea3538355b35ffedbfa2c91f4c2aa4ec43bc40010eee90af9f;2017;11;09
60240c33d42e9aa48fd791027ced492d0f21b823b4fb064e587263ff4463babe;2017;10;26
9461a374c085a3723df46eedc6f214f8e58a39320025ad027f094b29fc443f2c;2017;04;22
5960b2e5f171c1a970f9314daf309a03ff546edf92e299bc76f9606d7c7fc302;2018;04;10
